x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
83.6241,52.9866,514.717,1,10,T16,0.579,2.3511,1,39.9366,0.0215,-0.2021,169
-9.7321,1.5779,-13.723,5,1,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,170
-19.2493,2.7177,-26.7696,5,2,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,171
-28.7678,3.8456,-39.8162,5,3,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,172
-38.8168,5.0232,-53.5876,5,4,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,173
-48.3383,6.1264,-66.6342,5,5,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,174
-57.8611,7.2177,-79.6808,5,6,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,175
-67.9145,8.3565,-93.4523,5,7,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,176
-77.4402,9.4231,-106.4989,5,8,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,177
-87.2318,10.5068,-119.9079,5,9,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,178
-97.0249,11.5778,-133.3169,5,10,T17,3.0205,-1.1152,-1,88.4941,-0.3968,-0.3139,179
-7.0894,6.7238,-33.2095,4,1,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,180
-13.9232,13.5232,-65.9989,4,2,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,181
-20.7744,20.3051,-98.7884,4,3,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,182
-27.6431,27.0693,-131.5778,4,4,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,183
-34.5292,33.8158,-164.3672,4,5,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,184
-41.4325,40.5446,-197.1567,4,6,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,185
-48.3532,47.2557,-229.9461,4,7,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,186
-55.291,53.9489,-262.7355,4,8,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,187
-62.2461,60.6242,-295.525,4,9,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,188
-69.2183,67.2817,-328.3144,4,10,T18,2.3548,-1.9383,-1,43.6182,0.2591,0.0114,189
-9.4564,2.3111,17.0624,5,1,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,190
-18.6969,4.5522,33.3819,5,2,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,191
-28.1601,6.8357,50.0899,5,3,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,192
-37.6259,9.108,66.7979,5,4,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,193
-46.8742,11.3168,83.1173,5,5,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,194
-56.3453,13.567,99.8254,5,6,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,195
-65.819,15.8062,116.5334,5,7,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,196
-75.075,17.9824,132.8528,5,8,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,197
-84.5539,20.1995,149.5608,5,9,T19,2.9019,1.3091,-1,96.1338,-0.0058,0.3544,198
